level	freq	perc	cumfreq	cumperc
TROLL, (SALMON)	276103	0.230494192210533	276103	0.230494192210533
OCEAN TROLL	212942	0.1777666098437732	489045	0.4082608020543062
SET NET	212826	0.17766977161203934	701871	0.5859305736663456
GILL NET (SALMON)	173777	0.14507118444844783	875648	0.7310017581147934
TROLL (SALMON)	119363	0.09964570564182877	995011	0.8306474637566221
COL. R. GILLNET	108858	0.09087600198351413	1103869	0.9215234657401363
DIP BAG NET	25964	0.021675067661540363	1129833	0.9431985334016766
COL. R. SETNET	20532	0.01714036701689827	1150365	0.960338900418575
MIDWATER TRAWL	13935	0.011633109993204627	1164300	0.9719720104117795
DRAG SEINE	7459	0.00622686526295754	1171759	0.9781988756747371
HOOK AND LINE	7032	0.005870400392695726	1178791	0.9840692760674328
PURSE SEINE (SALMON)	6146	0.005130756657211025	1184937	0.9892000327246439
COL. R. DIPNET	4077	0.0034035299205091686	1189014	0.992603562645153
HANDLINE/JIGGER	3295	0.0027507066686479546	1192309	0.995354269313801
LAMPARA/ROUND HAUL	1503	0.0012547229508278834	1193812	0.9966089922646288
POLE NET	1268	0.0010585420503325057	1195080	0.9976675343149614
MOOCHING (DRIFTING FOR SALMON)	999	8.339775301909884e-4	1196079	0.9985015118451523
LONG LINE, SET	290	2.4209557933472134e-4	1196369	0.9987436074244871
REEF NET	203	1.6946690553430494e-4	1196572	0.9989130743300213
TROLL, GROUNDFISH OR OTHER FISH	174	1.452573476008328e-4	1196746	0.9990583316776221
TROLL (ALBACORE)	153	1.2772628840762885e-4	1196899	0.9991860579660298
TRAWL, FOOTROPE LESS THAN 8 INCHES IN DIAMETER	106	8.849010830855332e-5	1197005	0.9992745480743384
CRAB OR LOBSTER POT	102	8.515085893841923e-5	1197107	0.9993596989332768
BAIT NET	89	7.429829848548345e-5	1197196	0.9994339972317623
INDIAN TRAP	79	6.595017506014823e-5	1197275	0.9994999474068225
UNKNOWN	73	6.09413010049471e-5	1197348	0.9995608887078273
TRAWL, FOOTROPE GREATER THAN 8 INCHES IN DIAMETER	71	5.927167631988005e-5	1197419	0.9996201603841472
bottom trawl - roller gear	70	5.8436863977346535e-5	1197489	0.9996785972481246
OTTER TRAWL	65	5.426280226467892e-5	1197554	0.9997328600503893
SET LINE/LONG LINE	48	4.007099244160905e-5	1197602	0.9997729310428308
VERTICAL HOOK AND LINE/PORTUGUESE LONGLINE	44	3.673174307147496e-5	1197646	0.9998096627859023
JIG (ALBACORE)	36	3.005324433120679e-5	1197682	0.9998397160302336
DOUBLE RIGGED SHRIMP TRAWL	32	2.6713994961072702e-5	1197714	0.9998664300251946
GROUNDFISH(OTTER) TRAWL	24	2.0035496220804526e-5	1197738	0.9998864655214155
GILL NET, SET	22	1.836587153573748e-5	1197760	0.9999048313929512
Columbia River Beach Seine	15	1.2522185138002828e-5	1197775	0.9999173535780892
DIVING	15	1.2522185138002828e-5	1197790	0.9999298757632272
FISH TRAP	15	1.2522185138002828e-5	1197805	0.9999423979483651
Columbia River Purse Seine	8	6.6784987402681755e-6	1197813	0.9999490764471054
bottom trawl - mud(sole) gear	4	3.3392493701340877e-6	1197817	0.9999524156964756
CLAM DIGGER	4	3.3392493701340877e-6	1197821	0.9999557549458458
PURSE SEINE	4	3.3392493701340877e-6	1197825	0.9999590941952159
RAKES, FORKS	4	3.3392493701340877e-6	1197829	0.999962433444586
SELECTIVE FLATFISH TRAWL, SMALL FOOTROPE	4	3.3392493701340877e-6	1197833	0.9999657726939561
COL. R. SETLINE	3	2.5044370276005657e-6	1197836	0.9999682771309837
DANISH/SCOTTISH SEINE (TRAWL)	3	2.5044370276005657e-6	1197839	0.9999707815680113
DIP NET, SCOOP OR BRAIL	3	2.5044370276005657e-6	1197842	0.9999732860050389
HERRING G	3	2.5044370276005657e-6	1197845	0.9999757904420665
ROLLER TRAWL	3	2.5044370276005657e-6	1197848	0.9999782948790942
DREDGE	2	1.6696246850670439e-6	1197850	0.9999799645037792
LAMPARA BAIT NET	2	1.6696246850670439e-6	1197852	0.9999816341284643
LIVE BAIT	2	1.6696246850670439e-6	1197854	0.9999833037531494
PRAWN TRAP	2	1.6696246850670439e-6	1197856	0.9999849733778344
SELECTIVE FLATFISH TRAWL	2	1.6696246850670439e-6	1197858	0.9999866430025195
SINGLE RIGGED SHRIMP TRAWL	2	1.6696246850670439e-6	1197860	0.9999883126272046
BEAM TRAWL	1	8.348123425335219e-7	1197861	0.999989147439547
DIVING - ABALONE IRON	1	8.348123425335219e-7	1197862	0.9999899822518896
DRUM PURSE SEINE	1	8.348123425335219e-7	1197863	0.9999908170642321
ENTRAPPING	1	8.348123425335219e-7	1197864	0.9999916518765747
GROUNDFISH TRAWL, SMALL FOOTROPE (< 8 in.)	1	8.348123425335219e-7	1197865	0.9999924866889172
HAND PUMP	1	8.348123425335219e-7	1197866	0.9999933215012597
HAND TAKE	1	8.348123425335219e-7	1197867	0.9999941563136022
LARGE MESH SET GN	1	8.348123425335219e-7	1197868	0.9999949911259448
PAIR TRAWL	1	8.348123425335219e-7	1197869	0.9999958259382873
RAFT/LINES FOR HERRING ROE ON KELP	1	8.348123425335219e-7	1197870	0.9999966607506299
SHELLFISH POT (CRAB)	1	8.348123425335219e-7	1197871	0.9999974955629723
SPEAR	1	8.348123425335219e-7	1197872	0.9999983303753149
TRAMMEL NET	1	8.348123425335219e-7	1197873	0.9999991651876574
UNKNOWN GEAR	1	8.348123425335219e-7	1197874	1
