level	freq	perc	cumfreq	cumperc
OCEAN TROLL	36450	0.43169301829809914	36450	0.43169301829809914
TROLL (SALMON)	26405	0.31272576538165453	62855	0.7444187836797537
TROLL (ALBACORE)	11148	0.1320305560490318	74003	0.8764493397287855
HOOK AND LINE	3727	0.04414046307810742	77730	0.9205898028068928
JIG (ALBACORE)	2889	0.03421566885770119	80619	0.9548054716645941
GILL NET, DRIFT	2013	0.023840824302718066	82632	0.9786462959673121
LONG LINE, SET	570	0.006750755018653402	83202	0.9853970509859655
TROLL, (SALMON)	440	0.005211109137206135	83642	0.9906081601231717
PELAGIC DEEP-SET LONGLINE	190	0.0022502516728844673	83832	0.9928584117960562
GILL NET, SET	150	0.0017765144785930006	83982	0.9946349262746491
SHELLFISH POT (CRAB)	84	9.948481080120804e-4	84066	0.9956297743826612
PURSE SEINE	75	8.882572392965003e-4	84141	0.9965180316219577
TROLL, GROUNDFISH OR OTHER FISH	54	6.395452122934801e-4	84195	0.9971575768342512
SET LINE/LONG LINE	45	5.329543435779002e-4	84240	0.9976905311778291
GROUNDFISH(OTTER) TRAWL	22	2.6055545686030674e-4	84262	0.9979510866346895
MIDWATER TRAWL	22	2.6055545686030674e-4	84284	0.9982116420915498
HANDLINE/JIGGER	20	2.368685971457334e-4	84304	0.9984485106886954
PELAGIC SHALLOW-SET LONGLINE	20	2.368685971457334e-4	84324	0.9986853792858412
VERTICAL HOOK AND LINE/PORTUGUESE LONGLINE	19	2.2502516728844672e-4	84343	0.9989104044531296
UNKNOWN	14	1.6580801800201338e-4	84357	0.9990762124711317
CRAB OR LOBSTER POT	13	1.5396458814472672e-4	84370	0.9992301770592764
BOTTOMFISH POT	8	9.474743885829337e-5	84378	0.9993249244981347
TROLL (BOTTOMFISH)	7	8.290400900100669e-5	84385	0.9994078285071357
HARPOON/SPEAR	6	7.106057914372001e-5	84391	0.9994788890862794
DIVING	5	5.921714928643335e-5	84396	0.9995381062355658
TUNA BAITBOAT	5	5.921714928643335e-5	84401	0.9995973233848523
LARGE MESH DRIFT GN	4	4.7373719429146683e-5	84405	0.9996446971042814
LONGLINE	4	4.7373719429146683e-5	84409	0.9996920708237106
LARGE MESH SET GN	3	3.553028957186001e-5	84412	0.9997276011132824
MOOCHING (DRIFTING FOR SALMON)	3	3.553028957186001e-5	84415	0.9997631314028543
TRAWL NET	3	3.553028957186001e-5	84418	0.9997986616924261
TUNA SEINE	3	3.553028957186001e-5	84421	0.999834191981998
UNKNOWN OR UNSPECIFIED GEAR	3	3.553028957186001e-5	84424	0.9998697222715699
DRUM PURSE SEINE	2	2.3686859714573342e-5	84426	0.9998934091312844
UNKNOWN GEAR	2	2.3686859714573342e-5	84428	0.999917095990999
BALLOON TRAWL	1	1.1843429857286671e-5	84429	0.9999289394208563
BEACH SEINE OR SURF NET	1	1.1843429857286671e-5	84430	0.9999407828507136
CAST NET	1	1.1843429857286671e-5	84431	0.9999526262805709
ENTANGLING NETS	1	1.1843429857286671e-5	84432	0.9999644697104282
LAMPARA BAIT NET	1	1.1843429857286671e-5	84433	0.9999763131402855
MISCELLANEOUS	1	1.1843429857286671e-5	84434	0.9999881565701427
PRAWN TRAP	1	1.1843429857286671e-5	84435	1
