level	freq	perc	cumfreq	cumperc
SHELLFISH POT (CRAB)	730434	0.6016065705821162	730434	0.6016065705821162
CRAB OR LOBSTER POT	252852	0.20825622107518169	983286	0.8098627916572979
CRAB POT	219535	0.1808153761636847	1202821	0.9906781678209826
CRAB RING	7155	0.005893064962084242	1209976	0.9965712327830668
ENTRAPPING	863	7.107917627223901e-4	1210839	0.9972820245457892
MIDWATER TRAWL	639	5.262988834062657e-4	1211478	0.9978083234291955
GILL NET, SET	549	4.5217228010960856e-4	1212027	0.9982604957093051
BAIT NET	367	3.0227181566525746e-4	1212394	0.9985627675249703
FISH TRAP	348	2.866228660804076e-4	1212742	0.9988493903910508
GROUNDFISH(OTTER) TRAWL	249	2.0508360245408475e-4	1212991	0.9990544739935049
SELECTIVE FLATFISH TRAWL	234	1.9272916857130857e-4	1213225	0.9992472031620762
PRAWN TRAP	147	1.2107345205120666e-4	1213372	0.9993682766141273
bottom trawl - roller gear	92	7.577386114769396e-5	1213464	0.9994440504752751
HOOK AND LINE	87	7.16557165201019e-5	1213551	0.9995157061917952
bottom trawl - mud(sole) gear	82	6.753757189250983e-5	1213633	0.9995832437636877
TROLL, (SALMON)	81	6.671394296699142e-5	1213714	0.9996499577066547
LONG LINE, SET	55	4.529959090351269e-5	1213769	0.9996952572975581
SHELLFISH POT (NON-CRAB)	50	4.1181446275920635e-5	1213819	0.9997364387438341
TROLL (ALBACORE)	50	4.1181446275920635e-5	1213869	0.99977762019011
DIVING	36	2.9650641318662854e-5	1213905	0.9998072708314286
SELECTIVE FLATFISH TRAWL, SMALL FOOTROPE	24	1.9767094212441904e-5	1213929	0.9998270379256411
TRAWL, FOOTROPE LESS THAN 8 INCHES IN DIAMETER	16	1.3178062808294603e-5	1213945	0.9998402159884494
JIG (ALBACORE)	15	1.235443388277619e-5	1213960	0.9998525704223322
UNKNOWN	15	1.235443388277619e-5	1213975	0.9998649248562149
RING NETS	11	9.059918180702538e-6	1213986	0.9998739847743957
SINGLE RIGGED SHRIMP TRAWL	11	9.059918180702538e-6	1213997	0.9998830446925764
DIP NET, SCOOP OR BRAIL	10	8.236289255184126e-6	1214007	0.9998912809818316
VERTICAL HOOK AND LINE/PORTUGUESE LONGLINE	9	7.4126603296657134e-6	1214016	0.9998986936421612
CLAM DIGGER	8	6.5890314041473015e-6	1214024	0.9999052826735654
HOOP NET, CRAB-RINGS	8	6.5890314041473015e-6	1214032	0.9999118717049695
DIP BAG NET	7	5.765402478628889e-6	1214039	0.9999176371074482
LIVE BAIT	7	5.765402478628889e-6	1214046	0.9999234025099267
TRAPS, SEATTLE TYPE (SABLEFISH)	7	5.765402478628889e-6	1214053	0.9999291679124054
BARREL TRAP	6	4.941773553110476e-6	1214059	0.9999341096859585
ROLLER TRAWL	6	4.941773553110476e-6	1214065	0.9999390514595116
TRAWL, FOOTROPE GREATER THAN 8 INCHES IN DIAMETER	6	4.941773553110476e-6	1214071	0.9999439932330647
FISH POT	5	4.118144627592063e-6	1214076	0.9999481113776924
NET	5	4.118144627592063e-6	1214081	0.9999522295223199
SHRIMP NET, CHINESE TYPE	5	4.118144627592063e-6	1214086	0.9999563476669475
BEAM TRAWL	4	3.2945157020736507e-6	1214090	0.9999596421826495
GROUNDFISH TRAWL, SMALL FOOTROPE (< 8 in.)	4	3.2945157020736507e-6	1214094	0.9999629366983517
HARPOON/SPEAR	4	3.2945157020736507e-6	1214098	0.9999662312140537
MECHANICAL CLAM GEAR (GEODUCK)	4	3.2945157020736507e-6	1214102	0.9999695257297558
TRAWL NET	4	3.2945157020736507e-6	1214106	0.9999728202454579
LIFT NET	3	2.470886776555238e-6	1214109	0.9999752911322344
TROLL, GROUNDFISH OR OTHER FISH	3	2.470886776555238e-6	1214112	0.999977762019011
CLAM SHOVEL/RAKE	2	1.6472578510368254e-6	1214114	0.999979409276862
DANISH/SCOTTISH SEINE (TRAWL)	2	1.6472578510368254e-6	1214116	0.999981056534713
FYKE NET	2	1.6472578510368254e-6	1214118	0.999982703792564
GILL NET (SALMON)	2	1.6472578510368254e-6	1214120	0.9999843510504152
PURSE SEINE	2	1.6472578510368254e-6	1214122	0.9999859983082662
SET NET	2	1.6472578510368254e-6	1214124	0.9999876455661172
SHELLFISH DIVER	2	1.6472578510368254e-6	1214126	0.9999892928239682
BALLOON TRAWL	1	8.236289255184127e-7	1214127	0.9999901164528937
BOTTOMFISH POT	1	8.236289255184127e-7	1214128	0.9999909400818193
DOUBLE RIGGED SHRIMP TRAWL	1	8.236289255184127e-7	1214129	0.9999917637107448
DRUM PURSE SEINE	1	8.236289255184127e-7	1214130	0.9999925873396703
HAND DEVICE	1	8.236289255184127e-7	1214131	0.9999934109685958
KELP BARGE, SHEARING	1	8.236289255184127e-7	1214132	0.9999942345975213
LAMPARA BAIT NET	1	8.236289255184127e-7	1214133	0.9999950582264469
MOOCHING (DRIFTING FOR SALMON)	1	8.236289255184127e-7	1214134	0.9999958818553724
PARANZELLA	1	8.236289255184127e-7	1214135	0.9999967054842979
POLE NET	1	8.236289255184127e-7	1214136	0.9999975291132234
REEF NET	1	8.236289255184127e-7	1214137	0.999998352742149
SET LINE/LONG LINE	1	8.236289255184127e-7	1214138	0.9999991763710745
TROLL (SALMON)	1	8.236289255184127e-7	1214139	1
