level	freq	perc	cumfreq	cumperc
GROUNDFISH TRAWL	187844	0.18399068312334774	187844	0.18399068312334774
bottom trawl - roller gear	186010	0.1821943046771465	373854	0.36618498780049424
LONG LINE, SET	139670	0.13680489508229157	513524	0.5029898828827858
SET LINE/LONG LINE	129003	0.12635671139329033	642527	0.6293465942760761
LONGLINE	64789	0.06345995809756275	707316	0.6928065523736389
FISH TRAP	64750	0.06342175811969913	772066	0.756228310493338
GROUNDFISH(OTTER) TRAWL	33944	0.033247693553900656	806010	0.7894760040472387
OTTER TRAWL	31832	0.031179017829594795	837842	0.8206550218768335
MIDWATER TRAWL	31581	0.0309331666900111	869423	0.8515881885668446
bottom trawl - mud(sole) gear	23026	0.022553658725315714	892449	0.8741418472921603
SELECTIVE FLATFISH TRAWL	21427	0.020987459632908007	913876	0.8951293069250683
TRAWL, FOOTROPE GREATER THAN 8 INCHES IN DIAMETER	20325	0.019908065386608262	934201	0.9150373723116766
FISH POT	17304	0.016949036332096896	951505	0.9319864086437735
TRAWL, FOOTROPE LESS THAN 8 INCHES IN DIAMETER	13108	0.012839110508618013	964613	0.9448255191523914
GROUNDFISH TRAWL, SMALL FOOTROPE (< 8 in.)	11430	0.011195531973871214	976043	0.9560210511262627
SHRIMP TRAWL (DR)	9295	0.009104328057491945	985338	0.9651253791837546
HANDLINE/JIGGER	7738	0.007579267402783505	993076	0.9727046465865381
BOTTOMFISH POT	5940	0.005818150474610238	999016	0.9785227970611484
ROLLER TRAWL	5791	0.0056722069694390385	1004807	0.9841950040305875
HOOK AND LINE	5469	0.005356812280411345	1010276	0.9895518163109988
GULF SHRIMP TRAWL	2843	0.002784680437595439	1013119	0.9923364967485941
SELECTIVE FLATFISH TRAWL, SMALL FOOTROPE	1641	0.0016073375301069697	1014760	0.9939438342787011
VERTICAL HOOK AND LINE/PORTUGUESE LONGLINE	1169	0.00114501984929619	1015929	0.9950888541279973
GILL NET, SET	850	8.325636201041586e-4	1016779	0.9959214177481015
SINGLE RIGGED SHRIMP TRAWL	585	5.729996679540386e-4	1017364	0.9964944174160556
DANISH/SCOTTISH SEINE (TRAWL)	504	4.936612523911717e-4	1017868	0.9969880786684467
SHRIMP TRAWL (SR)	391	3.8297926524791297e-4	1018259	0.9973710579336946
CRAB OR LOBSTER POT	382	3.7416388574092776e-4	1018641	0.9977452218194356
TROLL, (SALMON)	370	3.624100463982808e-4	1019011	0.9981076318658338
OCEAN TROLL	357	3.496767204437466e-4	1019368	0.9984573085862776
PRAWN TRAP	302	2.958049567899481e-4	1019670	0.9987531135430675
TROLL (SALMON)	299	2.928664969542864e-4	1019969	0.9990459800400219
DOUBLE RIGGED SHRIMP TRAWL	210	2.0569218849632155e-4	1020179	0.9992516722285182
TROLL, GROUNDFISH OR OTHER FISH	157	1.5377939806629753e-4	1020336	0.9994054516265845
JIG (ALBACORE)	120	1.1753839342646945e-4	1020456	0.9995229900200109
UNKNOWN	46	4.505638414681329e-5	1020502	0.9995680464041578
LIVE BAIT	45	4.407689753492604e-5	1020547	0.9996121233016927
TRAWL NET	44	4.30974109230388e-5	1020591	0.9996552207126157
SHELLFISH POT (CRAB)	43	4.2117924311151554e-5	1020634	0.9996973386369269
FYKE NET	32	3.134357158039185e-5	1020666	0.9997286822085072
TRAPS, SEATTLE TYPE (SABLEFISH)	29	2.8405111744730117e-5	1020695	0.9997570873202519
TROLL (ALBACORE)	29	2.8405111744730117e-5	1020724	0.9997854924319967
SET NET	25	2.4487165297181136e-5	1020749	0.9998099795972939
GILL NET, DRIFT	23	2.2528192073406644e-5	1020772	0.9998325077893673
BEAM TRAWL	21	2.0569218849632155e-5	1020793	0.9998530770082169
PARANZELLA	18	1.7630759013970418e-5	1020811	0.9998707077672309
CRAB POT	17	1.6651272402083173e-5	1020828	0.999887359039633
MOOCHING (DRIFTING FOR SALMON)	17	1.6651272402083173e-5	1020845	0.999904010312035
TROLL (BOTTOMFISH)	16	1.5671785790195925e-5	1020861	0.9999196820978252
BALLOON TRAWL	15	1.4692299178308681e-5	1020876	0.9999343743970035
ENTRAPPING	14	1.3712812566421436e-5	1020890	0.99994808720957
PURSE SEINE	11	1.07743527307597e-5	1020901	0.9999588615623007
BAIT NET	10	9.794866118872453e-6	1020911	0.9999686564284196
DIP NET, SCOOP OR BRAIL	4	3.917946447548981e-6	1020915	0.9999725743748672
DIVING	4	3.917946447548981e-6	1020919	0.9999764923213147
DIVING - RAKE/HOOKS SEA URCHINS	4	3.917946447548981e-6	1020923	0.9999804102677623
DRUM PURSE SEINE	4	3.917946447548981e-6	1020927	0.9999843282142098
LIFT NET	3	2.9384598356617364e-6	1020930	0.9999872666740455
PAIR TRAWL	3	2.9384598356617364e-6	1020933	0.9999902051338811
SMALL MESH SET GN	3	2.9384598356617364e-6	1020936	0.9999931435937168
AQUACULTURE FARM	2	1.9589732237744907e-6	1020938	0.9999951025669406
DREDGE	2	1.9589732237744907e-6	1020940	0.9999970615401643
PELAGIC DEEP-SET LONGLINE	1	9.794866118872453e-7	1020941	0.9999980410267763
RAFT/LINES FOR HERRING ROE ON KELP	1	9.794866118872453e-7	1020942	0.9999990205133881
SHRIMP POT	1	9.794866118872453e-7	1020943	1
