level	freq	perc	cumfreq	cumperc
PRAWN TRAP	41738	0.4659715089536909	41738	0.4659715089536909
SHELLFISH POT (NON-CRAB)	34901	0.3896418523645782	76639	0.855613361318269
SINGLE RIGGED SHRIMP TRAWL	5493	0.06132496762381101	82132	0.91693832894208
DOUBLE RIGGED SHRIMP TRAWL	2388	0.026660117000848478	84520	0.9435984459429286
CRAB OR LOBSTER POT	1656	0.018487920332246683	86176	0.9620863662751753
GROUNDFISH(OTTER) TRAWL	1526	0.017036573929352924	87702	0.9791229402045282
FISH TRAP	968	0.010806948600008932	88670	0.9899298888045371
GULF SHRIMP TRAWL	320	0.00357254499173849	88990	0.9935024337962756
ENTRAPPING	149	0.0016634662617782342	89139	0.9951659000580538
SHELLFISH POT (CRAB)	45	5.023891394632252e-4	89184	0.995668289197517
LONG LINE, SET	38	4.2423971776894565e-4	89222	0.996092528915286
GILL NET, SET	35	3.9074710847139733e-4	89257	0.9964832760237574
HOOK AND LINE	30	3.349260929754834e-4	89287	0.9968182021167329
BEAM TRAWL	29	3.237618898763006e-4	89316	0.9971419640066091
MIDWATER TRAWL	29	3.237618898763006e-4	89345	0.9974657258964855
TRAWL NET	25	2.791050774795695e-4	89370	0.997744830973965
TRAWL, FOOTROPE LESS THAN 8 INCHES IN DIAMETER	24	2.679408743803867e-4	89394	0.9980127718483455
UNKNOWN	15	1.674630464877417e-4	89409	0.9981802348948332
TRAWL, FOOTROPE GREATER THAN 8 INCHES IN DIAMETER	14	1.5629884338855892e-4	89423	0.9983365337382217
BALLOON TRAWL	13	1.4513464028937615e-4	89436	0.9984816683785112
BURROWING GEAR	13	1.4513464028937615e-4	89449	0.9986268030188005
HALF RING	12	1.3397043719019336e-4	89461	0.9987607734559907
LARGE MESH SET GN	12	1.3397043719019336e-4	89473	0.9988947438931809
LIVE BAIT	12	1.3397043719019336e-4	89485	0.9990287143303711
TROLL, (SALMON)	10	1.1164203099182781e-4	89495	0.9991403563613629
JIG (ALBACORE)	9	1.0047782789264502e-4	89504	0.9992408341892556
PAIR TRAWL	9	1.0047782789264502e-4	89513	0.9993413120171482
TROLL, GROUNDFISH OR OTHER FISH	8	8.931362479346224e-5	89521	0.9994306256419416
SET LINE/LONG LINE	6	6.698521859509668e-5	89527	0.9994976108605368
TRAPS, SEATTLE TYPE (SABLEFISH)	5	5.5821015495913905e-5	89532	0.9995534318760326
DIVING	4	4.465681239673112e-5	89536	0.9995980886884294
HOOP NET, CRAB-RINGS	3	3.349260929754834e-5	89539	0.999631581297727
INDIAN TRAP	3	3.349260929754834e-5	89542	0.9996650739070245
PARANZELLA	3	3.349260929754834e-5	89545	0.999698566516322
SET NET	3	3.349260929754834e-5	89548	0.9997320591256196
DANISH/SCOTTISH SEINE (TRAWL)	2	2.232840619836556e-5	89550	0.999754387531818
DIP NET, SCOOP OR BRAIL	2	2.232840619836556e-5	89552	0.9997767159380163
DREDGE	2	2.232840619836556e-5	89554	0.9997990443442147
LIFT NET	2	2.232840619836556e-5	89556	0.999821372750413
REEF NET	2	2.232840619836556e-5	89558	0.9998437011566115
ROLLER TRAWL	2	2.232840619836556e-5	89560	0.9998660295628098
SHRIMP NET, CHINESE TYPE	2	2.232840619836556e-5	89562	0.9998883579690082
SMALL MESH SET GN	2	2.232840619836556e-5	89564	0.9999106863752065
FISH PUMP	1	1.116420309918278e-5	89565	0.9999218505783057
FYKE NET	1	1.116420309918278e-5	89566	0.9999330147814048
GILL NET, DRIFT	1	1.116420309918278e-5	89567	0.999944178984504
HARPOON/SPEAR	1	1.116420309918278e-5	89568	0.9999553431876033
LAMPARA BAIT NET	1	1.116420309918278e-5	89569	0.9999665073907025
PURSE SEINE	1	1.116420309918278e-5	89570	0.9999776715938016
SHELLFISH DIVER	1	1.116420309918278e-5	89571	0.9999888357969008
VERTICAL HOOK AND LINE/PORTUGUESE LONGLINE	1	1.116420309918278e-5	89572	1
